LabVIEW Measurement																																
Writer_Version	2																															
Reader_Version	2																															
Separator	Tab																															
Decimal_Separator	,																															
Multi_Headings	No																															
X_Columns	One																															
Time_Pref	Absolute																															
Operator	Pos-Oscar																															
Date	14/05/2025																															
Time	40:20.2																															
***End_of_Header***																																
																																
Channels	32																															
Samples	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Date	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025	15/05/2025
Time	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2	43:43.2
Y_Unit_Label	Volts	Volts	Volts	Volts	Volts	Amps	Amps	Amps	Amps	Amps	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts	Volts
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time
X0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Delta_X	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
***End_of_Header***																																
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	 PDT-M-0101D-30Kpa_mA	 PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água
